2015-11-30 17:43:54: starting
2015-11-30 17:48:08: starting
2015-11-30 17:49:10: starting, x=hello world
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:41: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 17:58:42: while is started
2015-11-30 18:00:43: started
2015-11-30 18:00:43: connected to server
2015-11-30 18:00:43: off day query succeeded
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:43: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:00:44: weekend removed
2015-11-30 18:02:37: started
2015-11-30 18:02:37: connected to server
2015-11-30 18:02:37: off day query succeeded
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
2015-11-30 18:02:37: weekend removed
